# Roster overrides for 2026 projections (auto-generated + manual edits)
# Edit this file to reflect trades, cuts, signings, and retirements.
# Columns: player_name, team, position, status
#   status: ACT = active, TRADE = moved teams, CUT = released, RET = retired
# Lines starting with # are ignored. Re-run update_rosters.py to refresh.
player_name,team,position,status
Dorian Singer,JAX,WR,CUT
Drake London,ATL,WR,ACT
Drake Stoops,LA,WR,CUT
Dyami Brown,JAX,WR,INA
Dylan Drummond,ATL,WR,ACT
Dymere Miller,NYJ,WR,CUT
Efton Chism III,NE,WR,INA
Eli Pancol,IND,WR,DEV
Elic Ayomanor,TEN,WR,ACT
Elijah Cooks,NO,WR,DEV
Elijah Moore,DEN,WR,ACT
Elijhah Badger,KC,WR,CUT
Emeka Egbuka,TB,WR,ACT
Erik Ezukanma,JAX,WR,CUT
Gabe Davis,BUF,WR,RES
Gage Larvadain,CLE,WR,ACT
Garrett Greene,TB,WR,DEV
Garrett Wilson,NYJ,WR,RES
George Pickens,DAL,WR,ACT
Grant DuBose,BUF,WR,CUT
Greg Dortch,ARI,WR,RES
Gunner Olszewski,NYG,WR,ACT
Hal Presley,TEN,WR,DEV
Hunter Renfrow,CAR,WR,CUT
Ife Adeyi,PHI,WR,CUT
Ihmir Smith-Marsette,NYG,WR,DEV
Irvin Charles,NYJ,WR,RES
Isaac TeSlaa,DET,WR,ACT
Isaiah Bond,CLE,WR,ACT
Isaiah Hodgins,NYG,WR,ACT
Isaiah Neyor,GB,WR,ACT
Isaiah Williams,NYJ,WR,ACT
JP Richardson,CHI,WR,DEV
Ja'Corey Brooks,WAS,WR,DEV
Ja'Lynn Polk,NO,WR,RES
Ja'Marr Chase,CIN,WR,ACT
Ja'Seem Reed,CAR,WR,DEV
JaQuae Jackson,LAC,WR,DEV
Jack Bech,LV,WR,ACT
Jackson Meeks,DET,WR,DEV
Jacob Cowing,SF,WR,RES
Jacob Harris,TB,WR,CUT
Jacoby Jones,WAS,WR,DEV
Jacolby George,CAR,WR,CUT
Jaden Smith,TB,WR,RES
Jahan Dotson,PHI,WR,ACT
Jahdae Walker,CHI,WR,INA
Jahmal Banks,BAL,WR,CUT
Jake Bobo,SEA,WR,ACT
Jakobi Meyers,JAX,WR,ACT
Jakobie Keeney-James,GB,WR,INA
Jalen Brooks,ARI,WR,ACT
Jalen Coker,CAR,WR,ACT
Jalen Cropper,DAL,WR,DEV
Jalen McMillan,TB,WR,ACT
Jalen Nailor,MIN,WR,ACT
Jalen Reagor,LAC,WR,CUT
Jalen Royals,KC,WR,ACT
Jalen Tolbert,DAL,WR,ACT
Jalen Virgil,ARI,WR,CUT
Jalin Hyatt,NYG,WR,INA
Jamaal Pritchett,NYJ,WR,DEV
Jamal Agnew,WAS,WR,CUT
Jamari Thrash,CLE,WR,INA
James Proche,TEN,WR,ACT
Jameson Williams,DET,WR,ACT
Jamoi Mayes,CIN,WR,CUT
Jared Wayne,HOU,WR,DEV
Jason Brownlee,KC,WR,ACT
Jauan Jennings,SF,WR,ACT
Javon Baker,SF,WR,CUT
Jaxon Smith-Njigba,SEA,WR,ACT
Jayden Higgins,HOU,WR,ACT
Jayden Reed,GB,WR,ACT
Jaylen Johnson,LAC,WR,CUT
Jaylen Waddle,MIA,WR,INA
Jaylin Lane,WAS,WR,RES
Jaylin Noel,HOU,WR,ACT
Jeremiah Webb,NE,WR,DEV
Jerjuan Newton,DEN,WR,CUT
Jermaine Burton,CIN,WR,CUT
Jerry Jeudy,CLE,WR,ACT
Jeshaun Jones,MIN,WR,ACT
Jesse Matthews,ATL,WR,CUT
Jha'Quan Jackson,NO,WR,CUT
Jimmy Holiday,KC,WR,ACT
Jimmy Horn Jr.,CAR,WR,ACT
Joaquin Davis,MIN,WR,DEV
John Jiles,NE,WR,DEV
John Metchie III,NYJ,WR,ACT
John Rhys Plumlee,PIT,WR,DEV
Johnny Wilson,PHI,WR,RES
Jonathan Mingo,DAL,WR,ACT
Jordan Addison,MIN,WR,ACT
Jordan Bly,NYG,WR,CUT
Jordan Moore,CIN,WR,DEV
Jordan Watkins,SF,WR,INA
Jordan Whittington,LA,WR,ACT
Josh Downs,IND,WR,ACT
Josh Kelly,HOU,WR,DEV
Josh Palmer,BUF,WR,RES
Josh Reynolds,NYJ,WR,RES
Joshua Cephus,JAX,WR,RES
JuJu Smith-Schuster,KC,WR,ACT
Julian Hicks,GB,WR,DEV
Junior Bergen,SF,WR,DEV
Justin Jefferson,MIN,WR,ACT
Justin Shorter,LV,WR,DEV
Justin Watson,HOU,WR,INA
Juwann Winfree,HOU,WR,CUT
K.J. Osborn,ATL,WR,DEV
KJ Hamler,BUF,WR,CUT
KaVontae Turpin,DAL,WR,ACT
Kaden Davis,CLE,WR,DEV
Kaden Prather,BUF,WR,CUT
Kalif Raymond,DET,WR,ACT
Kameron Johnson,TB,WR,ACT
Kawaan Baker,GB,WR,CUT
Kayshon Boutte,NE,WR,ACT
Ke'Shawn Williams,CIN,WR,ACT
KeAndre Lambert-Smith,LAC,WR,RES
Keenan Allen,LAC,WR,ACT
Keith Kirkwood,BAL,WR,INA
Kendric Pryor,CIN,WR,DEV
Kendrick Bourne,SF,WR,ACT
Keon Coleman,BUF,WR,ACT
Ketron Jackson Jr.,LV,WR,CUT
Kevin Austin Jr.,NO,WR,ACT
Key'Shawn Smith,KC,WR,CUT
KhaDarel Hodge,ATL,WR,RES
Khalil Shakir,BUF,WR,ACT
Kisean Johnson,GB,WR,DEV
Kobe Hudson,CAR,WR,CUT
Konata Mumpfield,LA,WR,ACT
Kristian Wilkerson,BUF,WR,DEV
Kyle Williams,NE,WR,ACT
Kyrese Rowan,DEN,WR,DEV
LaJohntay Wester,BAL,WR,ACT
Ladd McConkey,LAC,WR,ACT
Lance McCutcheon,TEN,WR,DEV
Landon Parker,IND,WR,CUT
Laquon Treadwell,IND,WR,ACT
Laviska Shenault Jr.,BUF,WR,CUT
Lil'Jordan Humphrey,DEN,WR,ACT
Lucky Jackson,MIN,WR,CUT
Luke Floriea,CLE,WR,DEV
Luke Grimm,LAC,WR,DEV
Luke McCaffrey,WAS,WR,RES
Luther Burden III,CHI,WR,ACT
Mac Dalena,SEA,WR,DEV
Mack Hollins,NE,WR,ACT
Malachi Corley,CLE,WR,ACT
Malik Cunningham,DET,WR,DEV
Malik Heath,ATL,WR,INA
Malik Knowles,SF,WR,CUT
Malik Nabers,NYG,WR,RES
Malik Taylor,DET,WR,CUT
Malik Turner,SF,WR,DEV
Malik Washington,MIA,WR,ACT
Mario Williams,LA,WR,RES
Marquez Callaway,LV,WR,CUT
Marquez Valdes-Scantling,PIT,WR,ACT
Marquise Brown,KC,WR,ACT
Marvin Harrison Jr.,ARI,WR,RES
Marvin Mims Jr.,DEN,WR,ACT
Mason Kinsey,TEN,WR,ACT
Mason Tipton,NO,WR,RES
Matt Landers,TEN,WR,CUT
Matthew Golden,GB,WR,ACT
Maurice Alexander,CHI,WR,DEV
Mecole Hardman,BUF,WR,ACT
Michael Bandy,DEN,WR,INA
Michael Gallup,WAS,WR,CUT
Michael Pittman,IND,WR,ACT
Michael Wilson,ARI,WR,ACT
Mike Evans,TB,WR,ACT
Mike Williams,LAC,WR,RES
Mike Woods,GB,WR,CUT
Miles Boykin,CHI,WR,CUT
Mitchell Tinsley,CIN,WR,ACT
Montorie Foster Jr,SEA,WR,DEV
Montrell Washington,NYG,WR,CUT
Moochie Dixon,NO,WR,CUT
Myles Price,MIN,WR,INA
Nate McCollum,ARI,WR,CUT
Nick Nash,ATL,WR,DEV
Nick Westbrook-Ikhine,MIA,WR,ACT
Nico Collins,HOU,WR,INA
Nikko Remigio,KC,WR,RES
Noah Brown,WAS,WR,RES
Olamide Zaccheaus,CHI,WR,ACT
Parker Washington,JAX,WR,ACT
Parris Campbell,DAL,WR,DEV
Pat Bryant,DEN,WR,ACT
Phil Lutz,NE,WR,CUT
Phillip Dorsett,LV,WR,DEV
Pokey Wilson,NYJ,WR,CUT
Puka Nacua,LA,WR,ACT
Quentin Johnston,LAC,WR,ACT
Quentin Skinner,NYJ,WR,ACT
Quez Watkins,PHI,WR,DEV
Quincy Skinner Jr.,ATL,WR,CUT
Quintez Cephus,HOU,WR,DEV
Rakim Jarrett,PIT,WR,CUT
Rashee Rice,KC,WR,RES
Rashid Shaheed,SEA,WR,ACT
Rashod Bateman,BAL,WR,INA
Rashod Owens,CIN,WR,CUT
Ray-Ray McCloud,NYG,WR,CUT
Ricky Pearsall,SF,WR,ACT
Ricky White III,SEA,WR,DEV
River Cracraft,WAS,WR,ACT
Robbie Chosen,WAS,WR,DEV
Robert Lewis,MIN,WR,CUT
Robert Woods,PIT,WR,CUT
Roderick Daniels Jr.,NO,WR,CUT
Roman Wilson,PIT,WR,INA
Rome Odunze,CHI,WR,ACT
Romeo Doubs,GB,WR,ACT
Rondale Moore,MIN,WR,RES
Ronnie Bell,NO,WR,ACT
Russell Gage,SF,WR,CUT
Ryan Flournoy,DAL,WR,ACT
