name,position,team,pos_rank,model_total,model_ppg,model_games,model_floor,model_ceiling,sleeper_total,sleeper_ppr_native,sleeper_games,slp_pass_yd,slp_pass_td,slp_pass_int,slp_rush_yd,slp_rush_td,slp_rec,slp_rec_yd,slp_rec_td,slp_fum_lost,diff,diff_pct,abs_diff,sleeper_ppg,ppg_diff,games_diff,pts_from_games_diff,pts_from_ppg_diff
Evan Engram,TE,DEN,33,88.0,7.1,12.3,38.0,132.0,108.80000000000001,108.8,18.0,0.0,0.0,0.0,0.0,0.0,48.0,428.0,3.0,0.0,-20.80000000000001,-19.11764705882354,20.80000000000001,6.044444444444445,1.0555555555555545,-5.699999999999999,-34.45333333333333,12.98333333333332
James Cook,RB,BUF,3,240.0,17.0,14.1,165.0,305.0,260.8,260.8,18.0,0.0,0.0,0.0,1270.0,11.0,31.0,268.0,2.0,2.0,-20.80000000000001,-7.97546012269939,20.80000000000001,14.488888888888889,2.511111111111111,-3.9000000000000004,-56.506666666666675,35.406666666666666
Jaxon Smith-Njigba,WR,SEA,1,264.0,20.6,12.8,170.0,317.0,284.6,284.6,18.0,0.0,0.0,0.0,33.0,0.0,99.0,1343.0,8.0,1.0,-20.600000000000023,-7.238229093464519,20.600000000000023,15.811111111111112,4.78888888888889,-5.199999999999999,-82.21777777777777,61.29777777777779
Malachi Corley,WR,CLE,164,33.0,3.4,9.9,11.0,78.0,12.5,12.5,18.0,0.0,0.0,0.0,28.0,0.0,5.0,47.0,0.0,0.0,20.5,164.0,20.5,0.6944444444444444,2.7055555555555557,-8.1,-5.624999999999999,26.785000000000004
Jared Goff,QB,DET,5,263.0,17.7,14.8,218.0,307.0,283.46,283.46,18.0,4104.0,30.0,10.0,53.0,1.0,0.0,0.0,0.0,3.0,-20.45999999999998,-7.217949622521689,20.45999999999998,15.747777777777777,1.9522222222222219,-3.1999999999999993,-50.392888888888876,28.892888888888884
Nikko Remigio,WR,KC,223,21.0,2.1,10.0,1.0,31.0,0.6000000000000001,0.6,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.4,3399.999999999999,20.4,0.03333333333333334,2.066666666666667,-8.0,-0.2666666666666667,20.666666666666668
Ben Skowronek,WR,PIT,222,21.0,2.0,10.7,5.0,39.0,0.6000000000000001,0.6,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.4,3399.999999999999,20.4,0.03333333333333334,1.9666666666666666,-7.300000000000001,-0.2433333333333334,21.04333333333333
Devontez Walker,WR,BAL,155,35.0,3.5,9.7,9.0,71.0,14.6,14.6,18.0,0.0,0.0,0.0,6.0,0.0,6.0,80.0,0.0,0.0,20.4,139.72602739726028,20.4,0.8111111111111111,2.688888888888889,-8.3,-6.732222222222223,26.08222222222222
Khalil Herbert,RB,NYJ,143,20.0,2.6,7.7,6.0,31.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,20.0,0.0,2.6,-10.3,0.0,20.02
Nikola Kalinic,TE,CHI,114,20.0,3.1,6.4,3.0,23.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,20.0,0.0,3.1,-11.6,0.0,19.840000000000003
Deion Burks,WR,,228,20.0,2.2,9.1,-6.0,83.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,20.0,0.0,2.2,-8.9,0.0,20.02
Desmond Reid,RB,,146,20.0,2.2,9.1,-5.0,76.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,20.0,0.0,2.2,-8.9,0.0,20.02
