player_display_name,position_group,team,projected_ppg,projected_games,projected_total,pos_rank,total_floor,total_ceiling
Jack Flaherty,SP,DET,10.4,28.1,292,72,174,461
Adolis Garcia,OF,TEX,2.6,109.9,291,35,196,348
Jakob Marsee,OF,MIA,2.7,108.0,291,36,210,362
Cade Smith,RP,CLE,4.3,68.1,291,4,153,411
Lawrence Butler,OF,OAK,2.5,117.0,290,37,200,360
James Wood,OF,WSN,2.3,123.9,290,38,215,411
Tanner Bibee,SP,CLE,9.9,29.4,290,73,206,448
Hayden Birdsong,RP,SF,8.7,33.4,290,5,86,450
Josh Hader,RP,HOU,5.3,55.2,290,6,180,402
Caleb Durbin,3B,MIL,2.4,120.9,289,11,207,348
Otto Lopez,SS,MIA,2.4,120.4,289,21,212,354
Carlos Santana,1B,CHC,2.5,116.0,288,13,183,346
Nolan Schanuel,1B,LAA,2.5,115.9,288,14,218,354
Ezequiel Tovar,SS,COL,2.5,116.3,288,22,168,340
Eric Lauer,SP,TOR,9.5,30.3,288,74,108,458
Riley Greene,OF,DET,2.4,120.1,286,39,190,411
Patrick Corbin,SP,TEX,8.9,32.0,286,75,118,465
Ernie Clement,3B,TOR,2.2,128.4,285,12,200,370
Brenton Doyle,OF,COL,2.4,116.5,285,40,165,363
Jonathan India,2B,KC,2.5,113.1,284,13,175,344
Edward Cabrera,SP,MIA,10.6,26.9,284,76,208,417
Andres Munoz,RP,SEA,4.8,58.8,284,7,185,350
Anthony Volpe,SS,NYY,2.4,118.6,283,23,190,355
Royce Lewis,3B,MIN,2.5,110.9,282,13,191,344
Christian Walker,1B,HOU,2.4,116.5,282,15,197,363
Shane Baz,SP,TB,9.3,30.2,282,77,165,448
Brady Singer,SP,CIN,10.0,28.2,282,78,159,471
Michael Wacha,SP,KC,9.9,28.3,281,79,150,422
Adley Rutschman,C,BAL,2.6,106.5,280,8,168,312
Sean Burke,SP,CWS,8.8,31.8,280,80,105,450
Starling Marte,DH,NYM,2.6,108.5,279,9,164,321
Mike Trout,DH,LAA,2.6,105.6,279,10,198,372
J. T. Ginn,SP,OAK,8.8,31.9,279,81,89,436
Eury Pérez,SP,MIA,10.8,25.8,279,82,130,417
Cal Quantrill,SP,ATL,9.3,30.1,279,83,103,416
MacKenzie Gore,SP,WSN,9.8,28.4,278,84,160,455
Bryan Reynolds,OF,PIT,2.3,121.4,277,41,189,370
Chad Patrick,SP,MIL,8.9,31.2,277,85,108,457
Michael Busch,1B,CHC,2.4,115.4,276,16,207,376
Austin Riley,3B,ATL,2.5,109.2,276,14,194,325
Seiya Suzuki,DH,CHC,2.5,111.5,276,11,204,419
José Soriano,SP,LAA,9.2,30.0,276,86,128,470
Dylan Crews,OF,WSN,2.6,106.0,274,42,159,291
Eugenio Suarez,3B,SEA,2.5,107.6,273,15,188,405
Jonathan Cannon,SP,CWS,8.2,33.2,273,87,69,459
Zac Gallen,SP,ARI,9.8,27.9,273,88,158,449
Noah Cameron,SP,KC,9.4,28.7,270,89,157,434
Taj Bradley,SP,MIN,9.0,29.8,269,90,127,463
Colton Gordon,SP,HOU,9.8,27.5,269,91,72,435
Janson Junk,SP,MIA,9.9,27.3,269,92,91,487
Keider Montero,SP,DET,8.4,32.1,269,93,104,444
Jonathan Aranda,1B,TB,2.6,103.1,268,17,170,306
Tommy Edman,2B,LAD,2.6,103.0,268,14,173,321
Luis Severino,SP,OAK,9.2,29.0,268,94,139,401
Robert Suarez,RP,SD,4.6,58.6,268,8,144,365
Jake Cronenworth,2B,SD,2.3,114.2,267,15,198,322
Brandon Pfaadt,SP,ARI,9.8,27.4,267,95,121,381
Simeon Woods Richardson,SP,MIN,8.5,31.5,267,96,99,465
Matt McLain,2B,CIN,2.5,105.2,266,16,154,320
Aroldis Chapman,RP,BOS,4.6,57.7,266,9,186,357
Chandler Simpson,OF,TB,2.6,101.3,265,43,173,300
Zack Littell,SP,CIN,10.3,25.7,265,97,147,377
Michael Lorenzen,SP,KC,8.0,33.0,265,98,115,458
Jeffrey Springs,SP,OAK,9.2,28.8,265,99,117,413
Marcell Ozuna,DH,ATL,2.5,104.5,264,12,196,343
JP Sears,SP,SD,8.3,31.9,264,100,110,432
Justin Wrobleski,RP,LAD,7.3,36.0,264,10,122,462
Joc Pederson,DH,TEX,2.5,105.6,263,13,145,292
Ceddanne Rafaela,OF,BOS,2.2,118.1,263,44,198,343
Jake Woodford,RP,ARI,5.8,45.7,263,11,66,405
Taylor Ward,OF,LAA,2.5,106.8,262,45,181,366
